event_no,event_name,pre_event,reaction_type,player,date,location,cause,proposal,key_topic,time_show,x_desktop,y_desktop,x_mobile,y_mobile,hashtag,tag
a1,"Flashmob
skywalk 
Phatumwan",,,3,14-12-2562,"สกายวอล์คแยกปทุมวัน 
กรุงเทพมหานคร","การแสดงพลังเพื่อ ""ทวงคืนความยุติธรรมสู่ประชาธิปไตย"" จากกรณีการชงเรื่อง ""ยุบพรรคอนาคตใหม่"" ของ กกต. สู่ศาลรัฐธรรมนูญ ซึ่งสะท้อนให้เห็นถึงความพยายามในการใช้กระบวนการกฎหมายและอำนาจอย่างอยุติธรรม อันกระทบต่อประชาชนเจ้าของอำนาจอธิปไตย และแสดงจุดยืนไม่ยอมต่อการกดหัวและระบบการสืบทอดอำนาจของคณะรักษาความสงบแห่งชาติ (คสช.)",-,1,1,10,60,10,60,#ไม่ถอยไม่ทน,"#ฟ้ารักพ่อ
#ไม่ถอยไม่ทน
#ชังชาติ"
a2,วิ่งไล่ลุง จ.นครศรีธรรมราช,a1,1,2,12-01-2563,"มหาวิทยาลัยวลัยลักษณ์
จ.นครศรีธรรมราช",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a3,วิ่งไล่ลุง จ.แพร่,a1,1,2,12-01-2563,ตลาดแพร่ปรีดา จ.แพร่ -> สนามหลวง จ.แพร่,ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a4,"วิ่งไล่ลุง 
สวนสุขภาพสระพลาสติก 
มหาวิทยาลัยขอนแก่น
จ.ขอนแก่น",a1,1,2,12-01-2563,"สวนสุขภาพสระพลาสติก
มหาวิทยาลัยขอนแก่น
จ.ขอนแก่น",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา และสร้างพื้นที่ความหลากหลายทางความคิดให้นักศึกษาและประชาชนชาวขอนแก่น, -,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a5," วิ่งไล่ลุง
บึงพลาญชัย จ.ร้อยเอ็ด

",a1,1,2,12-01-2563,"บึงพลาญชัย 
จ.ร้อยเอ็ด",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a6,"วิ่งไล่ลุง ลานหน้าพระร่วง
โรจนฤทธิ์ 
องค์พระปฐมเจดีย์ จ.นครปฐม",a1,1,2,12-01-2563,"ลานหน้าพระร่วงโรจนฤทธิ์ 
องค์พระปฐมเจดีย์ 
จ.นครปฐม",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a7,"วิ่งไล่ลุง อำเภอบางปะกง 
จ.ฉะเชิงเทรา",a1,1,2,12-01-2563,"อำเภอบางปะกง
จ.ฉะเชิงเทรา",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a8,"วิ่งไล่ลุง
ฟิวเจอร์ปาร์ค รังสิต จ.ปทุมธานี",a1,1,2,12-01-2563,"ฟิวเจอร์ปาร์ค รังสิต 
จ.ปทุมธานี",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a9,"วิ่งไล่ลุง เมืองพัทยา
 จ.ชลบุรี",a1,1,2,12-01-2563,"เมืองพัทยา
จ.ชลบุรี",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
a10,"วิ่งไล่ลุง มหาวิทยาลัย
บูรพา จ.ชลบุรี",a1,1,2,12-01-2563,"มหาวิทยาลัย
บูรพา 
จ.ชลบุรี",ขับไล่รัฐบาลพลเอกประยุทธ์ จันทร์โอชา,-,"1,2",,,,,,#วิ่งไล่ลุง,#วิ่งไล่ลุง
